,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
137,"Olof Palmes Allé 31A, 1. Dør/lejl. 2",Ejerlejlighed,2325000,2009,C,2816,125 dage,Aarhus N,3,68.0,DKK,"-6,00",34191.0,2000000-2500000
138,Rosenvangs Allé 224,Villa,3795000,1957,D,2684,125 dage,Højbjerg,2,91.0,DKK,"0,00",41703.0,3500000-4000000
139,Vestre Strandallé 105,Villa,6598000,1954,C,5140,127 dage,Risskov,5,156.0,DKK,"0,00",42295.0,4000000<
140,Lerbækvej 16,Villa,9595000,1966,D,6866,127 dage,Risskov,3,195.0,DKK,"-4,00",49205.0,4000000<
141,Grumstolsvej 61A,Rækkehus,5495000,1984,C,4115,130 dage,Højbjerg,3,110.0,DKK,"0,00",49955.0,4000000<
142,"Jordbrovej 16, 2. tv",Ejerlejlighed,1995000,1944,D,2583,130 dage,Aarhus N,2,67.0,DKK,"0,00",29776.0,1500000-2000000
143,Strandbyvej 2A,Rækkehus,4495000,1984,C,4242,131 dage,Risskov,2,107.0,DKK,"-5,00",42009.0,4000000<
144,Holmevej 183,Villa,4395000,1963,D,4309,131 dage,Højbjerg,5,171.0,DKK,"0,00",25702.0,4000000<
145,"Rundhøj Allé 88, 2. MF",Ejerlejlighed,1195000,1969,C,1682,131 dage,Højbjerg,1,54.0,DKK,"0,00",22130.0,1000000-1500000
146,Aldersrovej 29,Villa,9998000,1899,C,6239,133 dage,Aarhus N,4,233.0,DKK,"-9,00",42910.0,4000000<
147,"Ormslevvej 277B, st.",Ejerlejlighed,1750000,1974,C,2446,133 dage,Viby J,3,123.0,DKK,"-20,00",14228.0,1500000-2000000
148,"Borggade 3, 3. th",Ejerlejlighed,3095000,1934,E,3306,137 dage,Aarhus C,2,72.0,DKK,"0,00",42986.0,3000000-3500000
